ISO 3166-2 Code,Country,Subdivision,2018
UY-AR,Uruguay,Artigas,0.318-0.355
UY-CA,Uruguay,Canelones,0.318-0.355
UY-CL,Uruguay,Cerro Largo,0.281-0.317
UY-CO,Uruguay,Colonia,0.281-0.317
UY-DU,Uruguay,Durazno,0.318-0.355
UY-FS,Uruguay,Flores,0.281-0.317
UY-FD,Uruguay,Florida,0.281-0.317
UY-LA,Uruguay,Lavalleja,0.318-0.355
UY-MA,Uruguay,Maldonado,0.281-0.317
UY-MO,Uruguay,Montevideo,0.356
UY-PA,Uruguay,Paysandú,0.318-0.355
UY-RN,Uruguay,Río Negro,0.318-0.355
UY-RV,Uruguay,Rivera,0.318-0.355
UY-RO,Uruguay,Rocha,0.318-0.355
UY-SA,Uruguay,Salto,0.356
UY-SJ,Uruguay,San José,0.281-0.317
UY-SO,Uruguay,Soriano,0.318-0.355
UY-TA,Uruguay,Tacuarembó,0.318-0.355
UY-TT,Uruguay,Treinta y Tres,0.356